merchant_id,merchant_category,merchant_country,merchant_risk_level,mcc_code,merchant_since,chargeback_rate,is_high_risk_jurisdiction,merchant_city,annual_txn_volume
57,Digital Goods,MX,MEDIUM,5815,2021-02-23,0.010707,0,Monterrey,4140
58,Clothing,AU,LOW,5651,2022-11-07,0.003144,0,Sydney,18107
59,Automotive,BR,MEDIUM,5511,2019-01-10,,0,Brasília,9906
60,Electronics,US,LOW,5732,2015-07-25,0.006394,0,Los Angeles,11740
61,Travel,AU,LOW,4722,2020-12-29,0.007293,0,Brisbane,3527
62,Real Estate,GB,MEDIUM,6512,2015-07-01,0.018241,0,Manchester,7955
63,Digital Goods,ZA,HIGH,5815,2016-05-07,0.081531,0,Cape Town,4457
64,Entertainment,NL,LOW,7922,2017-01-10,0.006906,0,Rotterdam,32621
65,Electronics,AU,LOW,5732,2020-08-10,0.006224,0,Sydney,33773
66,Clothing,AE,MEDIUM,5651,2020-08-14,0.046769,1,Dubai,19798
67,Digital Goods,DE,HIGH,5815,2015-09-09,0.102618,0,,3364
68,Crypto,IN,HIGH,6051,2024-10-31,0.184632,0,Delhi,111
69,Utilities,US,LOW,4900,2016-04-26,0.0092,0,Chicago,42240
70,Healthcare,US,LOW,8099,2024-06-19,0.00359,0,New York,45146
71,Automotive,CA,LOW,5511,2016-12-16,0.003939,0,Vancouver,8917
72,Restaurants,IN,LOW,5812,2019-09-29,0.008889,0,Bangalore,18484
73,Utilities,AE,MEDIUM,4900,2020-10-19,0.036336,1,Sharjah,17461
74,Fuel,US,MEDIUM,5541,2017-09-28,0.021157,0,New York,5588
75,Real Estate,NG,LOW,6512,2023-11-10,0.001557,0,Kano,20363
76,Automotive,US,MEDIUM,5511,2017-06-08,0.048705,0,Los Angeles,13214
77,Real Estate,BR,LOW,6512,2023-01-16,0.00197,0,Rio de Janeiro,41909
78,Utilities,IN,LOW,4900,2020-08-09,0.007459,0,Mumbai,49908
79,Entertainment,IN,MEDIUM,7922,2023-11-26,0.023657,0,Delhi,9187
80,Crypto,CA,HIGH,6051,2017-10-29,0.243688,0,Toronto,252
81,Digital Goods,NL,HIGH,5815,2016-03-20,0.19423,0,The Hague,3105
82,Electronics,AU,LOW,5732,2017-09-29,0.002514,0,Melbourne,30311
83,Clothing,MX,MEDIUM,5651,2018-12-05,0.019185,0,Mexico City,3747
84,Travel,FR,HIGH,4722,2021-04-11,0.057868,0,Paris,985
85,Entertainment,US,HIGH,7922,2020-12-15,0.073457,0,Chicago,2583
86,Digital Goods,US,HIGH,5815,2017-06-09,0.061384,0,Los Angeles,3080
87,Offshore Services,CA,HIGH,6099,2023-12-06,0.06844,0,Vancouver,1228
88,Gambling,US,HIGH,7995,2018-12-20,0.219639,0,Chicago,917
89,Education,BR,LOW,8220,2016-01-18,0.001709,0,São Paulo,11676
90,Insurance,ZA,LOW,6311,2020-05-07,0.001414,0,Durban,29547
91,Offshore Services,FR,HIGH,6099,2023-04-30,0.119589,0,Marseille,366
92,Grocery,IN,LOW,5411,2021-02-05,0.009843,0,Delhi,24029
93,Restaurants,IT,MEDIUM,5812,2024-01-31,0.013049,0,Naples,17598
94,Clothing,SG,LOW,5651,2021-12-09,0.00321,0,Singapore,27005
95,Crypto,US,MEDIUM,6051,2022-08-02,0.016748,0,Chicago,2501
96,Electronics,CA,MEDIUM,5732,2024-11-08,0.04083,0,Montreal,3268
97,Gambling,CA,MEDIUM,7995,2024-09-19,0.02888,0,Montreal,7461
98,Offshore Services,FR,HIGH,6099,2022-12-17,0.198175,0,Marseille,3566
99,Automotive,IN,MEDIUM,5511,2018-05-15,0.021311,0,Bangalore,8336
100,Education,CH,LOW,8220,2019-01-27,0.00759,0,Basel,36627
101,Telecom,BR,MEDIUM,4813,2015-11-27,0.029486,0,Brasília,17015
102,Healthcare,FR,LOW,8099,2015-09-25,0.001056,0,Lyon,9776
103,Telecom,IN,LOW,4813,2019-06-25,0.005005,0,Mumbai,44352
104,Entertainment,IN,LOW,7922,2018-05-25,0.009812,0,Bangalore,41577
105,Healthcare,IN,MEDIUM,8099,2020-05-18,0.0294,0,Delhi,12188
106,Healthcare,CA,LOW,8099,2022-02-21,0.008947,0,Toronto,20708
107,Healthcare,NL,MEDIUM,8099,2017-01-16,0.019616,0,Rotterdam,15430
108,Fuel,BR,LOW,5541,2015-06-21,0.002268,0,Rio de Janeiro,28315
109,Healthcare,GB,LOW,8099,2022-07-14,0.00256,0,Birmingham,40164
110,Clothing,IN,HIGH,5651,2016-11-22,0.183892,0,Mumbai,2830
111,Healthcare,NG,LOW,8099,2015-12-20,0.002087,0,Kano,21154
112,Automotive,NL,LOW,5511,2018-01-06,0.002586,0,Rotterdam,43149
113,Digital Goods,GB,HIGH,5815,2019-12-16,0.103595,0,London,1904
114,Education,IN,LOW,8220,2018-03-13,0.007118,0,Bangalore,23940
115,Gambling,US,HIGH,7995,2018-08-21,0.160406,0,New York,3142
116,Clothing,SG,LOW,5651,2019-01-28,0.008473,0,Singapore,11951
117,Gambling,US,HIGH,7995,2022-11-03,0.188317,0,Los Angeles,798
118,Utilities,CH,LOW,4900,2024-10-29,0.001896,0,Basel,3705
119,Crypto,US,HIGH,6051,2015-08-15,0.055262,0,Chicago,4248
120,Offshore Services,US,HIGH,6099,2024-08-22,0.122545,0,Los Angeles,2633
121,Electronics,US,LOW,5732,2020-12-15,0.001915,0,New York,14496
122,Grocery,ZA,HIGH,5411,2016-11-18,0.115964,0,Cape Town,2339
123,Clothing,DE,HIGH,5651,2015-11-11,0.128534,0,Berlin,2634
124,Utilities,ZA,LOW,4900,2019-12-21,0.006052,0,Durban,22800
125,Automotive,US,MEDIUM,5511,2021-06-12,0.010604,0,Chicago,18737
126,Restaurants,AU,LOW,5812,2021-12-03,0.007195,0,Melbourne,40077
127,Clothing,BR,LOW,5651,2022-09-21,0.008647,0,Rio de Janeiro,19130
128,Healthcare,IN,HIGH,8099,2020-08-10,0.227176,0,Bangalore,196
129,Utilities,BR,MEDIUM,4900,2017-10-06,0.029246,0,Brasília,8948
130,Education,IN,LOW,8220,2017-10-27,0.00826,0,Bangalore,40587
131,Fuel,DE,LOW,5541,2024-04-17,0.001495,0,Berlin,21494
132,Real Estate,NL,LOW,6512,2017-12-02,0.002353,0,Rotterdam,5473
133,Crypto,IN,HIGH,6051,2020-02-26,0.164367,0,Bangalore,4927
134,Digital Goods,SG,HIGH,5815,2024-11-07,0.249267,0,Singapore,3844
135,Telecom,ZA,MEDIUM,4813,2024-09-08,0.018259,0,Cape Town,2376
136,Gambling,US,MEDIUM,7995,2023-09-16,0.026048,0,Chicago,11043
137,Clothing,US,LOW,5651,2021-12-01,0.008356,0,Los Angeles,28683
138,Gambling,IN,HIGH,7995,2016-06-27,0.179454,0,Mumbai,1054
139,Insurance,GB,LOW,6311,2018-08-19,0.007033,0,Manchester,8202
140,Education,IN,MEDIUM,8220,2020-10-26,0.030239,0,Bangalore,5358
141,Travel,IN,HIGH,4722,2015-08-15,,0,Delhi,325
142,Real Estate,US,LOW,6512,2018-10-17,0.00552,0,Los Angeles,34356
143,Grocery,GB,MEDIUM,5411,2022-05-01,0.022595,0,Manchester,12832
144,Insurance,DE,LOW,6311,2015-12-13,0.009637,0,Munich,45412
145,Real Estate,DE,LOW,6512,2015-04-25,0.008945,0,Hamburg,28088
146,Clothing,GB,LOW,5651,2022-12-02,0.003447,0,London,24708
147,Offshore Services,IN,MEDIUM,6099,2021-11-17,0.020383,0,Mumbai,13739
148,Clothing,US,LOW,5651,2019-12-19,0.007546,0,New York,24458
149,Real Estate,AU,LOW,6512,2019-11-10,0.001991,0,Sydney,13132
150,Offshore Services,AU,MEDIUM,6099,2018-11-16,0.048368,0,Sydney,15731
151,Insurance,GB,MEDIUM,6311,2019-01-23,0.021678,0,London,2026
152,Offshore Services,GB,HIGH,6099,2020-01-23,0.086881,0,Manchester,3571
153,Digital Goods,FR,HIGH,5815,2018-12-20,0.061782,0,Paris,4175
154,Gambling,IN,HIGH,7995,2017-12-20,0.128603,0,Bangalore,2001
155,Telecom,BR,LOW,4813,2016-03-16,0.005693,0,Brasília,31644
156,Restaurants,IN,LOW,5812,2016-12-19,0.00834,0,Mumbai,35544
157,Telecom,US,LOW,4813,2023-02-07,0.006052,0,New York,24585
158,Gambling,US,HIGH,7995,2018-02-27,0.203896,0,New York,2646
159,Travel,US,MEDIUM,4722,2020-04-15,0.034498,0,Chicago,16590
160,Insurance,GB,LOW,6311,2019-03-11,0.008124,0,Manchester,25462
161,Digital Goods,GB,MEDIUM,5815,2018-08-15,0.030628,0,London,6585
162,Entertainment,US,LOW,7922,2017-07-12,0.008638,0,Los Angeles,11075
163,Grocery,GB,HIGH,5411,2021-01-18,0.057927,0,Birmingham,3438
164,Real Estate,US,MEDIUM,6512,2017-03-01,0.045051,0,Chicago,12738
165,Entertainment,GB,LOW,7922,2022-01-16,0.008607,0,Manchester,19650
166,Telecom,AE,MEDIUM,4813,2024-01-09,0.029373,1,Sharjah,13874
167,Electronics,IN,HIGH,5732,2018-07-07,0.174925,0,Bangalore,4719
168,Offshore Services,FR,MEDIUM,6099,2021-01-27,0.035478,0,Marseille,4621
169,Telecom,HK,LOW,4813,2021-04-21,0.001474,0,Kowloon,9840
170,Gambling,IN,MEDIUM,7995,2021-08-04,0.027254,0,Bangalore,7130
171,Gambling,NL,HIGH,7995,2015-08-31,0.185698,0,The Hague,189
172,Crypto,US,HIGH,6051,2020-03-01,0.14799,0,Los Angeles,1375
173,Digital Goods,KE,HIGH,5815,2015-01-20,0.073848,0,Mombasa,2940
174,Restaurants,GB,MEDIUM,5812,2018-03-17,0.037253,0,Birmingham,3670
175,Entertainment,FR,MEDIUM,7922,2020-07-29,0.020715,0,Paris,19935
176,Restaurants,AU,LOW,5812,2024-12-20,0.007044,0,Brisbane,36298
177,Healthcare,US,MEDIUM,8099,2022-07-25,0.039754,0,New York,1033
178,Crypto,US,HIGH,6051,2015-11-25,0.100963,0,Chicago,4715
179,Healthcare,US,MEDIUM,8099,2021-06-03,0.023204,0,Chicago,17862
180,Clothing,ZA,MEDIUM,5651,2022-12-09,0.027358,0,Johannesburg,4915
181,Offshore Services,AE,HIGH,6099,2024-11-18,0.146488,1,Sharjah,2396
182,Crypto,IN,MEDIUM,6051,2017-12-18,0.047718,0,Delhi,16951
183,Offshore Services,GB,HIGH,6099,2016-03-04,0.15036,0,Birmingham,2692
184,Education,US,LOW,8220,2020-10-24,0.001917,0,New York,42749
185,Restaurants,DE,LOW,5812,2019-12-12,0.006135,0,Berlin,41547
186,Restaurants,GB,LOW,5812,2019-01-18,0.003792,0,Birmingham,8897
187,Utilities,US,LOW,4900,2024-03-02,0.003991,0,,14435
188,Healthcare,CA,MEDIUM,8099,2023-10-29,0.034688,0,Montreal,3136
189,Insurance,AU,HIGH,6311,2024-06-13,0.196364,0,Brisbane,4113
190,Electronics,GB,LOW,5732,2022-10-04,0.003912,0,Manchester,25427
191,Crypto,IN,HIGH,6051,2021-09-29,0.086734,0,Mumbai,2770
192,Electronics,CA,LOW,5732,2020-10-20,0.005612,0,,12625
193,Digital Goods,CA,HIGH,5815,2023-01-16,0.119327,0,Toronto,1933
194,Electronics,AU,MEDIUM,5732,2015-12-24,0.036833,0,Melbourne,15379
195,Digital Goods,IN,HIGH,5815,2017-09-28,0.190965,0,Mumbai,968
196,Fuel,US,LOW,5541,2021-10-09,0.005937,0,Los Angeles,30039
197,Real Estate,IN,LOW,6512,2022-10-12,0.002308,0,Mumbai,29658
198,Utilities,IN,LOW,4900,2018-01-05,0.006063,0,Mumbai,24495
199,Grocery,US,HIGH,5411,2024-03-22,0.124067,0,Chicago,4631
200,Gambling,US,MEDIUM,7995,2023-05-27,0.049004,0,New York,1168
201,Telecom,US,MEDIUM,4813,2023-08-03,0.037152,0,Los Angeles,5711
202,Crypto,BR,HIGH,6051,2018-04-11,0.124125,0,Brasília,125
203,Crypto,US,MEDIUM,6051,2015-10-23,0.025315,0,Chicago,18660
204,Education,IN,LOW,8220,2019-05-22,0.003502,0,Bangalore,32476
205,Crypto,US,HIGH,6051,2024-02-02,0.222505,0,Chicago,4370
206,Real Estate,AE,LOW,6512,2020-06-15,0.003377,1,Abu Dhabi,15386
207,Automotive,GB,LOW,5511,2019-10-15,0.008069,0,Manchester,31840
208,Utilities,GB,LOW,4900,2017-01-17,0.006666,0,Birmingham,17565
209,Travel,US,MEDIUM,4722,2022-05-28,0.040087,0,New York,2069
210,Automotive,NL,LOW,5511,2015-04-16,0.005719,0,The Hague,20193
211,Grocery,GB,LOW,5411,2017-09-18,0.007775,0,Birmingham,23161
212,Offshore Services,HK,HIGH,6099,2022-02-12,0.185997,0,Hong Kong,3311
213,Crypto,FR,HIGH,6051,2020-09-03,0.207668,0,Marseille,4832
214,Insurance,US,LOW,6311,2015-05-16,0.004656,0,Chicago,2390
215,Grocery,US,LOW,5411,2016-01-08,0.008816,0,New York,20221
216,Entertainment,JP,LOW,7922,2021-10-03,0.003064,0,Tokyo,42756
217,Real Estate,IN,LOW,6512,2019-04-14,0.005945,0,Mumbai,36656
218,Automotive,IN,MEDIUM,5511,2018-01-20,0.017034,0,Mumbai,19649
219,Telecom,DE,LOW,4813,2019-09-14,0.002123,0,Hamburg,44844
220,Real Estate,US,LOW,6512,2018-07-20,0.004311,0,Los Angeles,20145
221,Fuel,US,HIGH,5541,2023-09-03,0.17258,0,Chicago,2514
222,Education,GB,HIGH,8220,2015-10-07,0.112487,0,London,1503
223,Gambling,AU,HIGH,7995,2017-12-28,0.177162,0,Melbourne,4759
224,Education,IN,LOW,8220,2022-08-19,0.006923,0,Mumbai,47341
225,Gambling,NG,HIGH,7995,2015-07-23,0.197429,0,Lagos,4276
226,Insurance,US,LOW,6311,2022-03-05,0.002975,0,New York,44200
227,Travel,FR,HIGH,4722,2022-03-19,0.096546,0,Paris,1920
228,Gambling,US,HIGH,7995,2016-01-31,0.122726,0,Chicago,3581
229,Grocery,NG,LOW,5411,2021-11-09,0.002332,0,Kano,29384
230,Telecom,ZA,LOW,4813,2017-11-19,0.008717,0,Durban,46606
231,Telecom,FR,HIGH,4813,2015-06-22,0.139467,0,Marseille,725
232,Crypto,IT,HIGH,6051,2023-08-30,0.06939,0,Rome,4220
233,Fuel,AE,LOW,5541,2017-09-05,0.003966,1,Dubai,10043
234,Fuel,IN,LOW,5541,2023-05-30,0.002976,0,Mumbai,39239
235,Electronics,US,LOW,5732,2018-11-20,0.003489,0,New York,46778
236,Telecom,US,LOW,4813,2020-04-03,0.001884,0,New York,47117
237,Offshore Services,CA,MEDIUM,6099,2023-09-08,0.042137,0,Vancouver,9500
238,Real Estate,US,LOW,6512,2016-05-13,0.003284,0,Los Angeles,47020
239,Fuel,US,MEDIUM,5541,2024-12-12,0.014857,0,New York,5804
240,Healthcare,MX,MEDIUM,8099,2019-11-04,0.048893,0,,6818
241,Clothing,ZA,LOW,5651,2021-03-14,0.001953,0,Cape Town,4787
242,Entertainment,FR,LOW,7922,2022-10-11,0.00986,0,Paris,36241
243,Healthcare,DE,MEDIUM,8099,2017-04-26,0.036719,0,Hamburg,15075
244,Automotive,IN,LOW,5511,2019-02-11,0.006183,0,Mumbai,4734
245,Clothing,DE,LOW,5651,2019-05-19,0.004992,0,Munich,29854
246,Gambling,JP,MEDIUM,7995,2022-04-03,0.027731,0,Yokohama,7530
247,Clothing,SG,LOW,5651,2016-08-31,0.008133,0,Singapore,7296
248,Restaurants,US,MEDIUM,5812,2019-11-21,0.015833,0,Los Angeles,13597
249,Education,AU,MEDIUM,8220,2023-02-01,0.04185,0,Sydney,14189
250,Digital Goods,IN,HIGH,5815,2018-01-07,0.175256,0,Delhi,2443
251,Travel,GB,MEDIUM,4722,2019-10-20,0.02472,0,Birmingham,9381
252,Automotive,DE,MEDIUM,5511,2017-04-26,0.01088,0,Berlin,18513
253,Utilities,IN,LOW,4900,2017-11-17,0.004797,0,Mumbai,23571
254,Electronics,CA,LOW,5732,2020-01-19,0.001162,0,Toronto,10916
255,Automotive,GB,LOW,5511,2020-07-27,0.00775,0,London,33016
256,Clothing,CA,LOW,5651,2023-07-25,0.005217,0,Montreal,40903
257,Insurance,GB,LOW,6311,2021-02-14,0.003796,0,Manchester,31134
258,Grocery,IN,LOW,5411,2022-12-04,0.004572,0,Bangalore,25471
259,Digital Goods,FR,MEDIUM,5815,2024-12-22,0.025671,0,Lyon,16811
260,Automotive,IN,HIGH,5511,2016-04-08,0.204573,0,Delhi,1384
261,Restaurants,US,LOW,5812,2023-02-20,0.006122,0,Los Angeles,8291
262,Telecom,JP,LOW,4813,2022-10-30,0.006364,0,Tokyo,43792
263,Crypto,AU,HIGH,6051,2016-09-24,0.128826,0,Sydney,1980
264,Automotive,HK,LOW,5511,2017-02-03,0.002034,0,Tsuen Wan,49345
265,Healthcare,IT,LOW,8099,2020-05-22,0.008241,0,Naples,41504
266,Automotive,CA,HIGH,5511,2015-01-30,0.199344,0,Montreal,1589
267,Telecom,FR,LOW,4813,2023-12-28,0.007548,0,Paris,29339
268,Telecom,BR,LOW,4813,2016-02-07,0.003197,0,Rio de Janeiro,2974
269,Education,IT,MEDIUM,8220,2021-08-28,0.029441,0,Milan,6803
270,Utilities,DE,MEDIUM,4900,2020-03-06,0.048574,0,Berlin,15983
271,Digital Goods,IN,HIGH,5815,2021-11-04,0.17942,0,Mumbai,3333
272,Utilities,GB,LOW,4900,2019-01-05,0.001257,0,Manchester,38481
273,Gambling,JP,HIGH,7995,2020-08-06,0.103401,0,Yokohama,962
274,Healthcare,NL,LOW,8099,2016-05-30,0.009226,0,The Hague,9518
275,Healthcare,US,LOW,8099,2024-07-06,0.002351,0,Los Angeles,43781
276,Offshore Services,JP,HIGH,6099,2018-12-17,0.205367,0,Tokyo,1821
277,Entertainment,GB,LOW,7922,2020-06-29,0.007089,0,Birmingham,18340
278,Automotive,CA,MEDIUM,5511,2015-10-23,0.032906,0,Montreal,5338
279,Travel,FR,LOW,4722,2024-02-28,0.001595,0,Lyon,24739
280,Travel,US,LOW,4722,2024-05-18,0.005366,0,Los Angeles,34552
281,Crypto,IN,HIGH,6051,2017-11-28,0.061069,0,Bangalore,2046
282,Telecom,IN,MEDIUM,4813,2022-08-19,0.023785,0,Bangalore,13759
283,Utilities,US,MEDIUM,4900,2020-08-23,0.03833,0,Los Angeles,8189
284,Gambling,ZA,HIGH,7995,2022-10-22,0.211626,0,Johannesburg,3803
285,Fuel,AU,LOW,5541,2021-05-27,0.006947,0,Sydney,37558
286,Utilities,US,LOW,4900,2020-08-15,0.009556,0,Chicago,18329
287,Electronics,SG,LOW,5732,2018-11-28,0.00742,0,Jurong East,34745
288,Automotive,GB,LOW,5511,2024-10-03,0.005083,0,London,39199
289,Offshore Services,US,HIGH,6099,2019-10-29,0.055072,0,Chicago,4211
290,Crypto,CA,HIGH,6051,2015-02-26,0.068913,0,Toronto,3470
291,Real Estate,IN,HIGH,6512,2018-07-10,0.145218,0,Bangalore,3533
292,Telecom,AU,LOW,4813,2023-01-02,0.006095,0,Sydney,16277
293,Real Estate,GB,LOW,6512,2016-12-17,0.009098,0,Birmingham,36784
294,Insurance,ZA,LOW,6311,2015-10-22,0.009165,0,Cape Town,48473
295,Telecom,IN,HIGH,4813,2017-07-22,0.204927,0,Mumbai,3599
296,Real Estate,MX,MEDIUM,6512,2024-12-05,0.048456,0,Monterrey,18846
297,Insurance,IN,LOW,6311,2020-11-18,0.008417,0,Mumbai,32398
298,Real Estate,CA,LOW,6512,2015-09-08,0.003944,0,Vancouver,9053
299,Healthcare,JP,MEDIUM,8099,2020-12-12,0.023318,0,Tokyo,16664
300,Grocery,AE,LOW,5411,2019-02-18,0.004425,1,Sharjah,31388
301,Fuel,US,MEDIUM,5541,2015-04-06,0.027819,0,,18541
302,Crypto,IN,HIGH,6051,2023-02-17,0.133233,0,Delhi,597
303,Digital Goods,US,HIGH,5815,2019-01-12,0.227512,0,Chicago,2866
304,Telecom,NL,LOW,4813,2015-06-04,0.001196,0,The Hague,14625
305,Fuel,US,LOW,5541,2023-04-17,0.004427,0,New York,43809
306,Utilities,MX,LOW,4900,2022-09-19,0.001501,0,Guadalajara,23716
307,Electronics,US,LOW,5732,2023-10-10,0.007748,0,Chicago,35672
308,Restaurants,AE,HIGH,5812,2017-02-07,0.247282,1,Dubai,4088
309,Crypto,HK,MEDIUM,6051,2016-09-13,0.01641,0,Kowloon,2572
310,Utilities,FR,MEDIUM,4900,2023-10-03,0.039997,0,Lyon,5892
311,Electronics,SE,HIGH,5732,2021-12-19,0.059523,0,Gothenburg,1666
312,Telecom,GB,LOW,4813,2020-03-27,0.002417,0,Birmingham,16668
313,Clothing,IN,LOW,5651,2015-02-23,0.002286,0,Delhi,47751
314,Gambling,IN,MEDIUM,7995,2016-09-10,0.010681,0,Bangalore,7729
315,Electronics,IN,MEDIUM,5732,2022-08-10,0.026017,0,Delhi,16233
316,Utilities,AU,MEDIUM,4900,2023-11-02,0.036372,0,Melbourne,17768
317,Insurance,AE,LOW,6311,2015-07-01,0.004675,1,Sharjah,18391
318,Travel,US,LOW,4722,2015-07-05,0.00315,0,New York,8318
319,Electronics,NG,HIGH,5732,2018-05-03,,0,Abuja,1292
320,Automotive,DE,MEDIUM,5511,2019-06-04,0.020553,0,Hamburg,14139
321,Utilities,IT,LOW,4900,2022-09-18,0.004119,0,Rome,5529
322,Restaurants,DE,LOW,5812,2020-05-10,0.001855,0,Munich,36911
323,Fuel,MX,LOW,5541,2016-08-13,0.00422,0,Monterrey,2938
324,Clothing,JP,MEDIUM,5651,2015-08-29,0.028794,0,Osaka,8791
325,Entertainment,IN,LOW,7922,2022-02-16,0.004654,0,Delhi,48317
326,Gambling,GB,MEDIUM,7995,2022-05-13,0.011704,0,London,11923
327,Education,BR,LOW,8220,2018-09-20,0.002048,0,São Paulo,2846
328,Healthcare,DE,LOW,8099,2023-04-25,0.0095,0,Munich,8893
329,Digital Goods,GB,MEDIUM,5815,2021-03-24,0.048326,0,London,5940
330,Automotive,GB,LOW,5511,2024-09-28,0.00252,0,,44016
331,Telecom,CA,LOW,4813,2021-06-21,0.00189,0,,19535
332,Restaurants,GB,MEDIUM,5812,2018-08-29,0.039199,0,Birmingham,11695
333,Crypto,US,HIGH,6051,2024-08-15,0.064203,0,New York,3109
334,Clothing,IN,LOW,5651,2017-08-20,0.009393,0,Mumbai,49098
335,Travel,US,LOW,4722,2021-09-24,0.00552,0,Chicago,8419
336,Telecom,IT,LOW,4813,2024-07-21,0.004725,0,Rome,41077
337,Telecom,SG,LOW,4813,2019-05-03,0.002785,0,Tampines,18218
338,Grocery,BR,LOW,5411,2017-05-22,0.004536,0,São Paulo,22965
339,Travel,SG,LOW,4722,2024-02-24,0.003521,0,Tampines,20411
340,Electronics,ZA,LOW,5732,2015-05-15,0.00317,0,Durban,15997
341,Electronics,BR,HIGH,5732,2023-11-13,0.188013,0,Rio de Janeiro,1037
342,Insurance,GB,HIGH,6311,2018-03-26,0.091818,0,London,3759
343,Travel,US,LOW,4722,2020-08-02,0.006756,0,Los Angeles,41715
344,Restaurants,GB,LOW,5812,2024-04-08,0.002119,0,Manchester,41874
